base1,quote1,base2,quote2,base3,quote3,min_start_usdt,reason
USDC,BRL,XRP,USDC,XRP,BRL,0.000000,spot/market/price not ok
USDC,BRL,USDC,USDT,BRL,USDT,0.000000,spot/market/price not ok
SOL,BRL,SOL,USDT,BRL,USDT,0.000000,spot/market/price not ok
SOL,BRL,SOL,USDC,USDC,BRL,0.000000,spot/market/price not ok
ETH,BRL,ETH,USDT,BRL,USDT,0.000000,spot/market/price not ok
ETH,BRL,MX,ETH,MX,BRL,0.000000,spot/market/price not ok
ETH,BRL,ETH,USDC,USDC,BRL,0.000000,spot/market/price not ok
ETH,BRL,XRP,ETH,XRP,BRL,0.000000,spot/market/price not ok
BRL,USDT,VINE,USDT,VINE,BRL,0.000000,spot/market/price not ok
BRL,USDT,XRP,USDT,XRP,BRL,0.000000,spot/market/price not ok
BROCCOLIF3B,USDC,USDC,USDT,BROCCOLIF3B,USDT,0.000000,spot/market/price not ok
ONT,BTC,ONT,USDT,BTC,USDT,0.000000,spot/market/price not ok
BTC,USDF,USDF,USDT,BTC,USDT,0.000000,spot/market/price not ok
BTC,USDC,USDC,USDF,BTC,USDF,0.000000,spot/market/price not ok
BTC,USDC,XRP,USDC,XRP,BTC,0.000000,spot/market/price not ok
BTC,USDC,WBTC,USDC,WBTC,BTC,0.000000,spot/market/price not ok
BTC,USDC,XLM,USDC,XLM,BTC,0.000000,triangle has no USDT
BTC,USDC,USDC,USDT,BTC,USDT,0.000000,spot/market/price not ok
DOT,BTC,DOT,USDT,BTC,USDT,0.000000,spot/market/price not ok
DOT,BTC,DOT,USDC,BTC,USDC,0.000000,spot/market/price not ok
QTUM,BTC,QTUM,USDT,BTC,USDT,0.000000,spot/market/price not ok
ETC,BTC,ETC,USDC,BTC,USDC,0.000000,spot/market/price not ok
ETC,BTC,ETC,USDT,BTC,USDT,0.000000,spot/market/price not ok
DEXE,BTC,DEXE,USDT,BTC,USDT,0.000000,spot/market/price not ok
TRX,BTC,TRX,USDT,BTC,USDT,0.000000,spot/market/price not ok
TRX,BTC,TRX,USDE,BTC,USDE,0.000000,spot/market/price not ok
TRX,BTC,TRX,USDC,BTC,USDC,0.000000,spot/market/price not ok
LTC,BTC,LTC,USDT,BTC,USDT,0.000000,spot/market/price not ok
LTC,BTC,LTC,USDC,BTC,USDC,0.000000,spot/market/price not ok
NEO,BTC,NEO,USDT,BTC,USDT,0.000000,spot/market/price not ok
NEO,BTC,NEO,USDC,BTC,USDC,0.000000,spot/market/price not ok
ETH,BTC,XRP,ETH,XRP,BTC,0.000000,spot/market/price not ok
ETH,BTC,ETH,USDC,BTC,USDC,0.000000,spot/market/price not ok
ETH,BTC,IP,ETH,IP,BTC,0.000000,spot/market/price not ok
ETH,BTC,ETH,USDT,BTC,USDT,0.000000,spot/market/price not ok
ETH,BTC,ETH,USD1,BTC,USD1,0.000000,spot/market/price not ok
ETH,BTC,ETH,USDE,BTC,USDE,0.000000,spot/market/price not ok
ETH,BTC,MX,ETH,MX,BTC,0.000000,spot/market/price not ok
ETH,BTC,ETH,EUR,BTC,EUR,0.000000,spot/market/price not ok
ETH,BTC,ETH,USDF,BTC,USDF,0.000000,spot/market/price not ok
IP,BTC,IP,USDC,BTC,USDC,0.000000,spot/market/price not ok
IP,BTC,IP,USDT,BTC,USDT,0.000000,spot/market/price not ok
SOL,BTC,SOL,USDT,BTC,USDT,0.000000,spot/market/price not ok
SOL,BTC,SOL,USD1,BTC,USD1,0.000000,spot/market/price not ok
SOL,BTC,SOL,USDE,BTC,USDE,0.000000,spot/market/price not ok
SOL,BTC,SOL,USDC,BTC,USDC,0.000000,spot/market/price not ok
DASH,BTC,DASH,USDT,BTC,USDT,0.000000,spot/market/price not ok
DASH,BTC,DASH,USDC,BTC,USDC,0.000000,spot/market/price not ok
OMG,BTC,OMG,USDT,BTC,USDT,0.000000,spot/market/price not ok
BTC,USDT,XRP,USDT,XRP,BTC,0.000000,spot/market/price not ok
BTC,USDT,WBTC,USDT,WBTC,BTC,0.000000,spot/market/price not ok
BTC,USDT,XLM,USDT,XLM,BTC,0.000000,spot/market/price not ok
BTC,USD1,USD1,USDT,BTC,USDT,0.000000,spot/market/price not ok
BTC,USD1,XRP,USD1,XRP,BTC,0.000000,spot/market/price not ok
BTC,USDE,XRP,USDE,XRP,BTC,0.000000,spot/market/price not ok
BTC,USDE,USDE,USDT,BTC,USDT,0.000000,spot/market/price not ok
MX,BTC,MX,USDT,BTC,USDT,0.000000,spot/market/price not ok
MX,BTC,MX,USDC,BTC,USDC,0.000000,spot/market/price not ok
BTC,EUR,SOL,EUR,SOL,BTC,0.000000,spot/market/price not ok
BTC,EUR,EUR,USDT,BTC,USDT,0.000000,spot/market/price not ok
BTC,EUR,MX,EUR,MX,BTC,0.000000,spot/market/price not ok
BTC,EUR,XRP,EUR,XRP,BTC,0.000000,spot/market/price not ok
BTC,EUR,EUR,USDC,BTC,USDC,0.000000,spot/market/price not ok
BTC,EUR,LTC,EUR,LTC,BTC,0.000000,spot/market/price not ok
BTR,USDC,USDC,USDT,BTR,USDT,0.000000,spot/market/price not ok
