A,B,C,leg1,leg2,leg3,baseMin1,quoteMin1,baseInc1,quoteInc1,priceInc1,baseMin2,quoteMin2,baseInc2,quoteInc2,priceInc2,baseMin3,quoteMin3,baseInc3,quoteInc3,priceInc3
USDT,USD1,EGL1,BUY USD1/USDT,BUY EGL1/USD1,SELL EGL1/USDT,0.1,0.1,0.01,0.0001,0.0001,10,0.1,0.1,0.00001,0.00001,10,0.1,0.1,0.00001,0.00001
USDT,USD1,DOGE,BUY USD1/USDT,BUY DOGE/USD1,SELL DOGE/USDT,0.1,0.1,0.01,0.0001,0.0001,1,0.1,0.1,0.00001,0.00001,10,0.1,0.0001,0.00001,0.00001
USDT,USD1,XRP,BUY USD1/USDT,BUY XRP/USD1,SELL XRP/USDT,0.1,0.1,0.01,0.0001,0.0001,0.1,0.1,0.01,0.0001,0.0001,0.1,0.1,0.0001,0.000001,0.00001
USDT,USD1,WLFI,BUY USD1/USDT,BUY WLFI/USD1,SELL WLFI/USDT,0.1,0.1,0.01,0.0001,0.0001,1,0.1,0.01,0.0001,0.0001,1,0.1,0.01,0.0001,0.0001
USDT,USD1,ETH,BUY USD1/USDT,BUY ETH/USD1,SELL ETH/USDT,0.1,0.1,0.01,0.0001,0.0001,0.0001,0.1,0.0001,0.01,0.01,0.0001,0.01,0.0000001,0.000001,0.01
USDT,USD1,ADA,BUY USD1/USDT,BUY ADA/USD1,SELL ADA/USDT,0.1,0.1,0.01,0.0001,0.0001,1,0.1,0.01,0.0001,0.0001,1,0.1,0.01,0.0001,0.0001
USDT,USD1,TRUMP,BUY USD1/USDT,BUY TRUMP/USD1,SELL TRUMP/USDT,0.1,0.1,0.01,0.0001,0.0001,0.1,0.1,0.01,0.001,0.001,0.1,0.1,0.01,0.001,0.001
USDT,TRX,NFT,BUY TRX/USDT,BUY NFT/TRX,SELL NFT/USDT,1,0.1,0.01,0.0001,0.0001,100000,10,0.0001,0.000000001,0.000000001,100000,0.1,0.0001,0.0000000001,0.0000000001
USDT,TRX,KLV,BUY TRX/USDT,BUY KLV/TRX,SELL KLV/USDT,1,0.1,0.01,0.0001,0.0001,1,10,0.0001,0.00001,0.00001,10,0.1,0.0001,0.000001,0.000001
USDT,TRX,WIN,BUY TRX/USDT,BUY WIN/TRX,SELL WIN/USDT,1,0.1,0.01,0.0001,0.0001,10000,10,0.0001,0.0000001,0.0000001,1000,0.1,0.0001,0.00000001,0.00000001
USDT,ETH,DASH,BUY ETH/USDT,BUY DASH/ETH,SELL DASH/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.0001,0.0001,0.0001,0.00001,0.00001,0.0001,0.1,0.0001,0.01,0.01
USDT,ETH,ETC,BUY ETH/USDT,BUY ETC/ETH,SELL ETC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.0001,0.000001,0.000001,0.000001,0.01,0.1,0.000001,0.000001,0.0001
USDT,ETH,DYP,BUY ETH/USDT,BUY DYP/ETH,SELL DYP/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.00001,0.0001,0.0000000001,0.0000000001,100,0.1,1,0.000001,0.000001
USDT,ETH,TRAC,BUY ETH/USDT,BUY TRAC/ETH,SELL TRAC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.0000001,0.0000001,1,0.1,0.0001,0.0001,0.0001
USDT,ETH,DGB,BUY ETH/USDT,BUY DGB/ETH,SELL DGB/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.000001,0.000001
USDT,ETH,MOVR,BUY ETH/USDT,BUY MOVR/ETH,SELL MOVR/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.0001,0.0001,0.000001,0.000001,0.01,0.1,0.0001,0.0001,0.0001
USDT,ETH,AVA,BUY ETH/USDT,BUY AVA/ETH,SELL AVA/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.1,0.0001,0.0001,0.0000001,0.0000001,0.1,0.1,0.01,0.0001,0.0001
USDT,ETH,FET,BUY ETH/USDT,BUY FET/ETH,SELL FET/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.1,0.0001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.0001,0.0001
USDT,ETH,ALGO,BUY ETH/USDT,BUY ALGO/ETH,SELL ALGO/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.00001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.0001,0.0001
USDT,ETH,IOST,BUY ETH/USDT,BUY IOST/ETH,SELL IOST/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.000001,0.000001
USDT,ETH,BCHSV,BUY ETH/USDT,BUY BCHSV/ETH,SELL BCHSV/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.001,0.0001,0.001,0.00001,0.00001,0.001,0.1,0.001,0.01,0.01
USDT,ETH,LYX,BUY ETH/USDT,BUY LYX/ETH,SELL LYX/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.00001,0.0001,0.0000001,0.0000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,ETH,XMR,BUY ETH/USDT,BUY XMR/ETH,SELL XMR/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.001,0.0001,0.001,0.00001,0.00001,0.001,1,0.001,0.01,0.01
USDT,ETH,VET,BUY ETH/USDT,BUY VET/ETH,SELL VET/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.0001,0.0001,0.0000001,0.00000001,10,0.1,0.1,0.00001,0.00001
USDT,ETH,KNC,BUY ETH/USDT,BUY KNC/ETH,SELL KNC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.1,0.0001,0.0001,0.0000001,0.0000001,0.1,0.1,0.0001,0.0001,0.0001
USDT,ETH,ONT,BUY ETH/USDT,BUY ONT/ETH,SELL ONT/USDT,0.0001,0.01,0.0000001,0.000001,0.01,0.01,0.0001,0.0001,0.00000001,0.00000001,0.01,0.1,0.0001,0.000001,0.00001
USDT,ETH,XDC,BUY ETH/USDT,BUY XDC/ETH,SELL XDC/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.00001,0.0001,0.00000001,0.00000001,1,0.1,0.0001,0.00001,0.00001
USDT,ETH,IOTX,BUY ETH/USDT,BUY IOTX/ETH,SELL IOTX/USDT,0.0001,0.01,0.0000001,0.000001,0.01,1,0.0001,0.0001,0.000000001,0.000000001,1,0.1,0.0001,0.00001,0.00001
USDT,ETH,CSPR,BUY ETH/USDT,BUY CSPR/ETH,SELL CSPR/USDT,0.0001,0.01,0.0000001,0.000001,0.01,10,0.00001,0.0001,0.000000001,0.000000001,100,0.1,1,0.000001,0.000001
