A,B,C,Leg1,Step1,MinQty1,MinNotional1,Leg2,Step2,MinQty2,MinNotional2,Leg3,Step3,MinQty3,MinNotional3,Leg1Symbol,Leg1Side,Leg1Base,Leg1Quote,Leg1QtyStep,Leg1QuoteStep,Leg1PriceStep,Leg1MinQty,Leg1MinQuote,Leg1MinNotional,Leg2Symbol,Leg2Side,Leg2Base,Leg2Quote,Leg2QtyStep,Leg2QuoteStep,Leg2PriceStep,Leg2MinQty,Leg2MinQuote,Leg2MinNotional,Leg3Symbol,Leg3Side,Leg3Base,Leg3Quote,Leg3QtyStep,Leg3QuoteStep,Leg3PriceStep,Leg3MinQty,Leg3MinQuote,Leg3MinNotional
USDT,DASH,BTC,BUY DASH/USDT,0.000001,0.000001,0,SELL DASH/BTC,0.001,0.001,0,SELL BTC/USDT,0.00000001,0.00000001,0,DASHUSDT,BUY,DASH,USDT,0.000001,0,0,0.000001,0,0,DASHBTC,SELL,DASH,BTC,0.001,0,0,0.001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,XRP,BTC,BUY XRP/USDT,0.01,0.01,0,SELL XRP/BTC,0.01,0.01,0,SELL BTC/USDT,0.00000001,0.00000001,0,XRPUSDT,BUY,XRP,USDT,0.01,0,0,0.01,0,0,XRPBTC,SELL,XRP,BTC,0.01,0,0,0.01,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,XRP,EUR,BUY XRP/USDT,0.01,0.01,0,SELL XRP/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,XRPUSDT,BUY,XRP,USDT,0.01,0,0,0.01,0,0,XRPEUR,SELL,XRP,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,LINK,EUR,BUY LINK/USDT,0.01,0.01,0,SELL LINK/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,LINKUSDT,BUY,LINK,USDT,0.01,0,0,0.01,0,0,LINKEUR,SELL,LINK,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,BCH,BTC,BUY BCH/USDT,0.00001,0.00001,0,SELL BCH/BTC,0.001,0.001,0,SELL BTC/USDT,0.00000001,0.00000001,0,BCHUSDT,BUY,BCH,USDT,0.00001,0,0,0.00001,0,0,BCHBTC,SELL,BCH,BTC,0.001,0,0,0.001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,ONT,BTC,BUY ONT/USDT,0.01,0.01,0,SELL ONT/BTC,0.01,0.01,0,SELL BTC/USDT,0.00000001,0.00000001,0,ONTUSDT,BUY,ONT,USDT,0.01,0,0,0.01,0,0,ONTBTC,SELL,ONT,BTC,0.01,0,0,0.01,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,TRX,BTC,BUY TRX/USDT,0.01,0.01,0,SELL TRX/BTC,0.001,0.001,0,SELL BTC/USDT,0.00000001,0.00000001,0,TRXUSDT,BUY,TRX,USDT,0.01,0,0,0.01,0,0,TRXBTC,SELL,TRX,BTC,0.001,0,0,0.001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,MX,BTC,BUY MX/USDT,0.01,0.01,0,SELL MX/BTC,0.01,0.01,0,SELL BTC/USDT,0.00000001,0.00000001,0,MXUSDT,BUY,MX,USDT,0.01,0,0,0.01,0,0,MXBTC,SELL,MX,BTC,0.01,0,0,0.01,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
USDT,MX,EUR,BUY MX/USDT,0.01,0.01,0,SELL MX/EUR,0.01,0.01,0,SELL EUR/USDT,0.01,0.01,0,MXUSDT,BUY,MX,USDT,0.01,0,0,0.01,0,0,MXEUR,SELL,MX,EUR,0.01,0,0,0.01,0,0,EURUSDT,SELL,EUR,USDT,0.01,0,0,0.01,0,0
USDT,DOT,BTC,BUY DOT/USDT,0.01,0.01,0,SELL DOT/BTC,0.0001,0.0001,0,SELL BTC/USDT,0.00000001,0.00000001,0,DOTUSDT,BUY,DOT,USDT,0.01,0,0,0.01,0,0,DOTBTC,SELL,DOT,BTC,0.0001,0,0,0.0001,0,0,BTCUSDT,SELL,BTC,USDT,0.00000001,0,0,0.00000001,0,0
