A,B,C,Leg1,Leg2,Leg3
USDT,BTC,EUR,BUY BTC/USDT,SELL BTC/EUR,BUY USDT/EUR
USDT,EUR,BTC,SELL USDT/EUR,BUY BTC/EUR,SELL BTC/USDT
USDT,BTC,PERP,BUY BTC/USDT,BUY PERP/BTC,SELL PERP/USDT
USDT,PERP,BTC,BUY PERP/USDT,SELL PERP/BTC,SELL BTC/USDT
USDT,BTC,WAN,BUY BTC/USDT,BUY WAN/BTC,SELL WAN/USDT
USDT,WAN,BTC,BUY WAN/USDT,SELL WAN/BTC,SELL BTC/USDT
USDT,BTC,ELA,BUY BTC/USDT,BUY ELA/BTC,SELL ELA/USDT
USDT,ELA,BTC,BUY ELA/USDT,SELL ELA/BTC,SELL BTC/USDT
USDT,BTC,BCHSV,BUY BTC/USDT,BUY BCHSV/BTC,SELL BCHSV/USDT
USDT,BCHSV,BTC,BUY BCHSV/USDT,SELL BCHSV/BTC,SELL BTC/USDT
USDT,BTC,OGN,BUY BTC/USDT,BUY OGN/BTC,SELL OGN/USDT
USDT,OGN,BTC,BUY OGN/USDT,SELL OGN/BTC,SELL BTC/USDT
USDT,BTC,BRL,BUY BTC/USDT,SELL BTC/BRL,BUY USDT/BRL
USDT,BRL,BTC,SELL USDT/BRL,BUY BTC/BRL,SELL BTC/USDT
USDT,BTC,KAS,BUY BTC/USDT,BUY KAS/BTC,SELL KAS/USDT
USDT,KAS,BTC,BUY KAS/USDT,SELL KAS/BTC,SELL BTC/USDT
USDT,BTC,VSYS,BUY BTC/USDT,BUY VSYS/BTC,SELL VSYS/USDT
USDT,VSYS,BTC,BUY VSYS/USDT,SELL VSYS/BTC,SELL BTC/USDT
USDT,BTC,DASH,BUY BTC/USDT,BUY DASH/BTC,SELL DASH/USDT
USDT,DASH,BTC,BUY DASH/USDT,SELL DASH/BTC,SELL BTC/USDT
USDT,BTC,NEO,BUY BTC/USDT,BUY NEO/BTC,SELL NEO/USDT
USDT,NEO,BTC,BUY NEO/USDT,SELL NEO/BTC,SELL BTC/USDT
USDT,BTC,AVAX,BUY BTC/USDT,BUY AVAX/BTC,SELL AVAX/USDT
USDT,AVAX,BTC,BUY AVAX/USDT,SELL AVAX/BTC,SELL BTC/USDT
USDT,BTC,BNB,BUY BTC/USDT,BUY BNB/BTC,SELL BNB/USDT
USDT,BNB,BTC,BUY BNB/USDT,SELL BNB/BTC,SELL BTC/USDT
USDT,BTC,XYO,BUY BTC/USDT,BUY XYO/BTC,SELL XYO/USDT
USDT,XYO,BTC,BUY XYO/USDT,SELL XYO/BTC,SELL BTC/USDT
USDT,BTC,RLC,BUY BTC/USDT,BUY RLC/BTC,SELL RLC/USDT
USDT,RLC,BTC,BUY RLC/USDT,SELL RLC/BTC,SELL BTC/USDT
USDT,BTC,WIN,BUY BTC/USDT,BUY WIN/BTC,SELL WIN/USDT
USDT,WIN,BTC,BUY WIN/USDT,SELL WIN/BTC,SELL BTC/USDT
USDT,BTC,NKN,BUY BTC/USDT,BUY NKN/BTC,SELL NKN/USDT
